match_time,home_team,away_team,home_goals,away_goals,category
2024-04-14T15:03:00+09:00,ＦＣ岐阜,テゲバジャーロ宮崎,1,2,J3
2024-04-14T16:03:00+09:00,ＦＣ琉球,ＡＣ長野パルセイロ,4,3,J3
2024-04-20T14:03:00+09:00,京都サンガF.C.,アルビレックス新潟,0,1,J1
2024-04-20T14:03:00+09:00,北海道コンサドーレ札幌,サンフレッチェ広島,1,1,J1
2024-04-20T14:03:00+09:00,藤枝ＭＹＦＣ,徳島ヴォルティス,0,1,J2
2024-04-20T14:03:00+09:00,清水エスパルス,ベガルタ仙台,3,2,J2
2024-04-20T14:03:00+09:00,モンテディオ山形,愛媛ＦＣ,2,1,J2
2024-04-20T14:03:00+09:00,ヴァンフォーレ甲府,ザスパ群馬,4,1,J2
2024-04-20T14:03:00+09:00,ファジアーノ岡山,ロアッソ熊本,2,0,J2
2024-04-20T14:03:00+09:00,岩手,ＦＣ琉球,1,1,J3
2024-04-20T14:03:00+09:00,松本山雅ＦＣ,カマタマーレ讃岐,2,1,J3
2024-04-20T14:04:00+09:00,サガン鳥栖,鹿島アントラーズ,4,2,J1
2024-04-20T15:03:00+09:00,アビスパ福岡,ジュビロ磐田,2,2,J1
2024-04-20T15:03:00+09:00,湘南ベルマーレ,ヴィッセル神戸,0,1,J1
2024-04-20T16:03:00+09:00,川崎フロンターレ,東京ヴェルディ,0,0,J1
2024-04-20T16:03:00+09:00,浦和レッズ,ガンバ大阪,0,1,J1
2024-04-21T13:03:00+09:00,福島ユナイテッドＦＣ,ＲＢ大宮アルディージャ,1,2,J3
2024-04-21T13:03:00+09:00,ヴァンラーレ八戸,ギラヴァンツ北九州,0,0,J3
2024-04-21T14:03:00+09:00,ジェフユナイテッド千葉,ブラウブリッツ秋田,1,2,J2
2024-04-21T14:03:00+09:00,鹿児島ユナイテッドＦＣ,栃木,2,1,J2
2024-04-21T14:03:00+09:00,Ｖ・ファーレン長崎,横浜ＦＣ,1,0,J2
2024-04-21T14:03:00+09:00,大分トリニータ,いわきＦＣ,0,2,J2
2024-04-21T14:03:00+09:00,レノファ山口ＦＣ,水戸ホーリーホック,1,2,J2
2024-04-21T15:03:00+09:00,名古屋グランパス,セレッソ大阪,2,1,J1
2024-04-21T15:03:00+09:00,ＦＣ東京,ＦＣ町田ゼルビア,1,2,J1
2024-04-27T13:03:00+09:00,北海道コンサドーレ札幌,湘南ベルマーレ,3,3,J1
2024-04-27T13:03:00+09:00,ＡＣ長野パルセイロ,ギラヴァンツ北九州,3,2,J3
2024-04-27T13:03:00+09:00,ＦＣ今治,ＲＢ大宮アルディージャ,1,4,J3
2024-04-27T14:03:00+09:00,ジュビロ磐田,ＦＣ町田ゼルビア,2,0,J1
2024-04-27T14:03:00+09:00,アルビレックス新潟,ＦＣ東京,1,3,J1
2024-04-27T14:03:00+09:00,ヴィッセル神戸,京都サンガF.C.,0,1,J1
